pays,population,evo_pop_%,qt_kcal/h,qt_prot_gr/h,ratio_prot_viande_%,qt_volaille_Kg/h,PIBh_$,tot_poultry_exch_$
Uruguay,3408005.0,0.99543,3050.0,92.44,28.199999999999996,29.049253155438446,16881.205676315054,69916.00000000001
Ouzbekistan,30019734.0,4.94101,2760.0,83.43,16.71,1.7988167383495137,1907.5512333556146,0.0
Venezuela (Republique bolivarienne du),30317848.0,4.44334,2631.0,73.01,32.95,39.38274246905651,12237.19374101243,0.0
Viet Nam,91497725.0,3.41938,2745.0,81.61,21.26,12.382821540098401,1871.3254905231895,2425202.0
Ethiopie,94887724.0,8.19251,2131.0,60.4,4.67,0.65340380595492,502.1535887320712,0.0
Samoa,190757.0,2.44462,2960.0,85.53,40.17,73.39180213570144,4219.024861668104,0.0
Yemen,25576322.0,8.34312,2223.0,58.94,12.959999999999999,10.24384976072791,1580.1816006295453,73839778.0
Zambie,15153210.0,9.4092,1930.0,55.22,9.25,3.167645667155672,1850.7933594391939,89485.99999999999
Belgique,11151512.0,1.94513,3733.0,99.59,21.529999999999998,12.823373189214163,46582.669550341176,0.0
Luxembourg,544721.0,7.25198,3539.0,113.88,29.24,20.19382399430167,113625.13289955996,0.0
Serbie,8920215.0,-1.21267,2728.0,82.22,21.78,11.32259704502638,6353.826382793315,0.0
Montenegro,627094.0,0.44995,3491.0,112.07,22.43,15.946572603150404,7186.431924061808,110817.0
Soudan,36849918.0,8.040493413797044,2336.0,70.71,15.129999999999999,1.3025809175477676,1955.66079918474,0.0
